#struc i-RMSD
1BJ1/1BJ1_r_u.pdb 0.000
1FSK/1FSK_r_u.pdb 0.000
1IQD/1IQD_r_u.pdb 0.000
1K4C/1K4C_r_u.pdb 0.000
1NCA/1NCA_r_u.pdb 0.000
1NSN/1NSN_r_u.pdb 0.000
1QFW/1QFW_r_u.pdb 0.000
2JEL/2JEL_r_u.pdb 0.000
9QFW/9QFW_r_u.pdb 0.000
1GHQ/1GHQ_r_u.pdb 0.196
2SNI/2SNI_r_u.pdb 0.266
2SIC/2SIC_r_u.pdb 0.267
1WEJ/1WEJ_r_u.pdb 0.276
1PVH/1PVH_r_u.pdb 0.294
3BIW/3BIW_r_u.pdb 0.300
2O3B/2O3B_r_u.pdb 0.311
1SBB/1SBB_r_u.pdb 0.329
2UUY/2UUY_r_u.pdb 0.336
2ABZ/2ABZ_r_u.pdb 0.339
2VXT/2VXT_r_u.pdb 0.341
1VFB/1VFB_r_u.pdb 0.350
1JTD/1JTD_r_u.pdb 0.352
1J2J/1J2J_r_u.pdb 0.367
1B6C/1B6C_r_u.pdb 0.371
1EXB/1EXB_r_u.pdb 0.379
2OOB/2OOB_r_u.pdb 0.382
4G6J/4G6J_r_u.pdb 0.393
1R0R/1R0R_r_u.pdb 0.400
2B42/2B42_r_u.pdb 0.400
3EOA/3EOA_r_u.pdb 0.403
3VLB/3VLB_r_u.pdb 0.408
3LVK/3LVK_r_u.pdb 0.414
4CPA/4CPA_r_u.pdb 0.421
3SGQ/3SGQ_r_u.pdb 0.433
1FLE/1FLE_r_u.pdb 0.438
1PPE/1PPE_r_u.pdb 0.441
1N2C/1N2C_r_u.pdb 0.443
1EZU/1EZU_r_u.pdb 0.446
2VDB/2VDB_r_u.pdb 0.446
3MXW/3MXW_r_u.pdb 0.446
7CEI/7CEI_r_u.pdb 0.455
1TMQ/1TMQ_r_u.pdb 0.460
BOYV/BOYV_r_u.pdb 0.462
1I4D/1I4D_r_u.pdb 0.464
1AK4/1AK4_r_u.pdb 0.465
3P57/3P57_r_u.pdb 0.465
1JPS/1JPS_r_u.pdb 0.467
2OOR/2OOR_r_u.pdb 0.468
3RVW/3RVW_r_u.pdb 0.469
3L5W/3L5W_r_u.pdb 0.472
1BUH/1BUH_r_u.pdb 0.473
1GL1/1GL1_r_u.pdb 0.476
1KAC/1KAC_r_u.pdb 0.476
2IDO/2IDO_r_u.pdb 0.477
1YVB/1YVB_r_u.pdb 0.478
