#struc i-RMSD
1I9R/1I9R_l_u.pdb 0.000
1KXQ/1KXQ_l_u.pdb 0.000
2HMI/2HMI_l_u.pdb 0.000
1KTZ/1KTZ_l_u.pdb 0.205
2MTA/2MTA_l_u.pdb 0.272
1T6B/1T6B_l_u.pdb 0.277
4IZ7/4IZ7_l_u.pdb 0.314
1KLU/1KLU_l_u.pdb 0.321
1Z0K/1Z0K_l_u.pdb 0.324
3SGQ/3SGQ_l_u.pdb 0.351
1NCA/1NCA_l_u.pdb 0.353
2JEL/2JEL_l_u.pdb 0.354
2PCC/2PCC_l_u.pdb 0.374
1IRAtrunc/1IRAtrunc_l_u.pdb 0.380
1GP2/1GP2_l_u.pdb 0.384
1ATN/1ATN_l_u.pdb 0.395
3K75/3K75_l_u.pdb 0.397
1BVN/1BVN_l_u.pdb 0.401
1IJK/1IJK_l_u.pdb 0.405
1XQS/1XQS_l_u.pdb 0.405
1KKL/1KKL_l_u.pdb 0.421
1SBB/1SBB_l_u.pdb 0.423
1GCQ/1GCQ_l_u.pdb 0.429
4DN4/4DN4_l_u.pdb 0.433
2BTF/2BTF_l_u.pdb 0.437
2GTP/2GTP_l_u.pdb 0.445
1A2K/1A2K_l_u.pdb 0.448
4M76/4M76_l_u.pdb 0.457
3EOA/3EOA_l_u.pdb 0.459
1GHQ/1GHQ_l_u.pdb 0.465
4HX3/4HX3_l_u.pdb 0.471
1PVH/1PVH_l_u.pdb 0.477
1GLA/1GLA_l_u.pdb 0.488
1AVX/1AVX_l_u.pdb 0.500
1EAW/1EAW_l_u.pdb 0.502
1PPE/1PPE_l_u.pdb 0.503
1AZS/1AZS_l_u.pdb 0.516
3BP8/3BP8_l_u.pdb 0.519
3PC8/3PC8_l_u.pdb 0.519
2SNI/2SNI_l_u.pdb 0.520
3RVW/3RVW_l_u.pdb 0.523
1AY7/1AY7_l_u.pdb 0.525
2VIS/2VIS_l_u.pdb 0.527
3D5S/3D5S_l_u.pdb 0.534
2X9A/2X9A_l_u.pdb 0.540
1MLC/1MLC_l_u.pdb 0.541
3L5W/3L5W_l_u.pdb 0.543
2GAF/2GAF_l_u.pdb 0.547
3BIW/3BIW_l_u.pdb 0.552
4G6M/4G6M_l_u.pdb 0.557
1GPW/1GPW_l_u.pdb 0.567
4H03/4H03_l_u.pdb 0.569
3MXW/3MXW_l_u.pdb 0.583
1WEJ/1WEJ_l_u.pdb 0.586
3VLB/3VLB_l_u.pdb 0.586
1GRN/1GRN_l_u.pdb 0.590
1JTG/1JTG_l_u.pdb 0.597
1JPS/1JPS_l_u.pdb 0.601
2FJU/2FJU_l_u.pdb 0.601
2A1A/2A1A_l_u.pdb 0.605
1NSN/1NSN_l_u.pdb 0.606
2HQS/2HQS_l_u.pdb 0.606
1JMO/1JMO_l_u.pdb 0.627
1RLB/1RLB_l_u.pdb 0.633
1ZHI/1ZHI_l_u.pdb 0.633
1ZM4/1ZM4_l_u.pdb 0.648
2VDB/2VDB_l_u.pdb 0.653
1FSK/1FSK_l_u.pdb 0.655
1E96/1E96_l_u.pdb 0.658
2OUL/2OUL_l_u.pdb 0.659
3P57/3P57_l_u.pdb 0.671
1US7/1US7_l_u.pdb 0.676
1R0R/1R0R_l_u.pdb 0.684
1FC2/1FC2_l_u.pdb 0.701
1PXV/1PXV_l_u.pdb 0.712
1BJ1/1BJ1_l_u.pdb 0.730
1D6R/1D6R_l_u.pdb 0.732
2YVJ/2YVJ_l_u.pdb 0.735
1HCF/1HCF_l_u.pdb 0.743
1NW9/1NW9_l_u.pdb 0.745
1MAH/1MAH_l_u.pdb 0.757
1F51/1F51_l_u.pdb 0.763
1F6M/1F6M_l_u.pdb 0.771
2UUY/2UUY_l_u.pdb 0.784
1AHW/1AHW_l_u.pdb 0.787
1EFN/1EFN_l_u.pdb 0.791
1K5D/1K5D_l_u.pdb 0.806
1JTD/1JTD_l_u.pdb 0.807
2AJF/2AJF_l_u.pdb 0.811
2HLE/2HLE_l_u.pdb 0.814
2I25/2I25_l_u.pdb 0.819
1K4C/1K4C_l_u.pdb 0.823
1IB1/1IB1_l_u.pdb 0.830
1IRA/1IRA_l_u.pdb 0.833
1YVB/1YVB_l_u.pdb 0.839
4G6J/4G6J_l_u.pdb 0.855
1CLV/1CLV_l_u.pdb 0.859
3S9D/3S9D_l_u.pdb 0.868
1EXB/1EXB_l_u.pdb 0.878
1IQD/1IQD_l_u.pdb 0.891
1QA9/1QA9_l_u.pdb 0.895
1J2J/1J2J_l_u.pdb 0.897
3A4S/3A4S_l_u.pdb 0.897
1I2M/1I2M_l_u.pdb 0.898
1JZD/1JZD_l_u.pdb 0.904
BP57/BP57_l_u.pdb 0.907
1FQJ/1FQJ_l_u.pdb 0.909
1HE8/1HE8_l_u.pdb 0.909
1HE1/1HE1_l_u.pdb 0.912
