#struc i-RMSD
1A2K/ana_script/target-unbound.pdb 1.196
1ACB/ana_script/target-unbound.pdb 2.295
1AHW/ana_script/target-unbound.pdb 0.935
1AK4/ana_script/target-unbound.pdb 0.957
1AKJ/ana_script/target-unbound.pdb 1.191
1ATN/ana_script/target-unbound.pdb 4.276
1AVX/ana_script/target-unbound.pdb 0.518
1AY7/ana_script/target-unbound.pdb 0.558
1AZS/ana_script/target-unbound.pdb 0.788
1B6C/ana_script/target-unbound.pdb 2.113
1BGX/ana_script/target-unbound.pdb 11.554
1BJ1/ana_script/target-unbound.pdb 0.559
1BKD/ana_script/target-unbound.pdb 2.915
1BUH/ana_script/target-unbound.pdb 0.872
1BVK/ana_script/target-unbound.pdb 1.311
1BVN/ana_script/target-unbound.pdb 0.853
1CGI/ana_script/target-unbound.pdb 1.943
1CLV/ana_script/target-unbound.pdb 0.910
1D6R/ana_script/target-unbound.pdb 1.664
1DE4/ana_script/target-unbound.pdb 2.793
1DFJ/ana_script/target-unbound.pdb 1.084
1DQJ/ana_script/target-unbound.pdb 1.124
1E4K/ana_script/target-unbound.pdb 3.433
1E6E/ana_script/target-unbound.pdb 1.041
1E6J/ana_script/target-unbound.pdb 1.153
1E96/ana_script/target-unbound.pdb 0.776
1EAW/ana_script/target-unbound.pdb 0.574
1EER/ana_script/target-unbound.pdb 2.410
1EFN/ana_script/target-unbound.pdb 0.830
1EWY/ana_script/target-unbound.pdb 0.908
1EXB/ana_script/target-unbound.pdb 0.654
1EZU/ana_script/target-unbound.pdb 1.477
1F34/ana_script/target-unbound.pdb 0.972
1F51/ana_script/target-unbound.pdb 0.762
1F6M/ana_script/target-unbound.pdb 5.368
1FAK/ana_script/target-unbound.pdb 8.849
1FC2/ana_script/target-unbound.pdb 1.737
1FCC/ana_script/target-unbound.pdb 1.096
1FFW/ana_script/target-unbound.pdb 1.463
1FLE/ana_script/target-unbound.pdb 1.028
1FQ1/ana_script/target-unbound.pdb 3.539
1FQJ/ana_script/target-unbound.pdb 0.744
1FSK/ana_script/target-unbound.pdb 0.451
1GCQ/ana_script/target-unbound.pdb 1.032
1GHQ/ana_script/target-unbound.pdb 0.437
1GL1/ana_script/target-unbound.pdb 1.251
1GLA/ana_script/target-unbound.pdb 1.034
1GP2/ana_script/target-unbound.pdb 1.927
1GPW/ana_script/target-unbound.pdb 1.147
1GRN/ana_script/target-unbound.pdb 1.279
1GXD/ana_script/target-unbound.pdb 2.111
1H1V/ana_script/target-unbound.pdb 7.443
1H9D/ana_script/target-unbound.pdb 1.305
1HCF/ana_script/target-unbound.pdb 0.994
1HE1/ana_script/target-unbound.pdb 0.948
1HE8/ana_script/target-unbound.pdb 1.031
1HIA/ana_script/target-unbound.pdb 1.455
1I2M/ana_script/target-unbound.pdb 2.147
1I4D/ana_script/target-unbound.pdb 1.358
1I9R/ana_script/target-unbound.pdb 1.389
1IB1/ana_script/target-unbound.pdb 2.295
1IBR/ana_script/target-unbound.pdb 2.713
1IJK/ana_script/target-unbound.pdb 0.717
1IQD/ana_script/target-unbound.pdb 0.554
1IRA/ana_script/target-unbound.pdb 7.466
1IRAtrunc/ana_script/target-unbound.pdb 2.054
1J2J/ana_script/target-unbound.pdb 0.691
1JIW/ana_script/target-unbound.pdb 2.289
1JK9/ana_script/target-unbound.pdb 2.781
1JMO/ana_script/target-unbound.pdb 4.200
1JPS/ana_script/target-unbound.pdb 0.631
1JTD/ana_script/target-unbound.pdb 0.627
1JTG/ana_script/target-unbound.pdb 0.612
1JWH/ana_script/target-unbound.pdb 1.625
1JZD/ana_script/target-unbound.pdb 2.901
1K4C/ana_script/target-unbound.pdb 0.515
1K5D/ana_script/target-unbound.pdb 1.255
1K74/ana_script/target-unbound.pdb 0.899
1KAC/ana_script/target-unbound.pdb 0.977
1KKL/ana_script/target-unbound.pdb 2.549
1KLU/ana_script/target-unbound.pdb 0.685
1KTZ/ana_script/target-unbound.pdb 0.504
1KXP/ana_script/target-unbound.pdb 1.155
1KXQ/ana_script/target-unbound.pdb 0.732
1LFD/ana_script/target-unbound.pdb 2.196
1M10/ana_script/target-unbound.pdb 2.181
1M27/ana_script/target-unbound.pdb 1.316
1MAH/ana_script/target-unbound.pdb 0.656
1ML0/ana_script/target-unbound.pdb 1.091
1MLC/ana_script/target-unbound.pdb 0.849
1MQ8/ana_script/target-unbound.pdb 2.213
1N2C/ana_script/target-unbound.pdb 2.168
1NCA/ana_script/target-unbound.pdb 0.254
1NSN/ana_script/target-unbound.pdb 0.439
1NW9/ana_script/target-unbound.pdb 2.411
1OC0/ana_script/target-unbound.pdb 1.027
1OFU/ana_script/target-unbound.pdb 1.208
1OPH/ana_script/target-unbound.pdb 3.054
1OYV/ana_script/target-unbound.pdb 0.759
1PPE/ana_script/target-unbound.pdb 0.465
1PVH/ana_script/target-unbound.pdb 0.438
1PXV/ana_script/target-unbound.pdb 2.658
1QA9/ana_script/target-unbound.pdb 0.900
1QFW/ana_script/target-unbound.pdb 0.751
1R0R/ana_script/target-unbound.pdb 0.507
1R6Q/ana_script/target-unbound.pdb 1.865
1R8S/ana_script/target-unbound.pdb 3.838
1RKE/ana_script/target-unbound.pdb 4.628
1RLB/ana_script/target-unbound.pdb 0.768
1RV6/ana_script/target-unbound.pdb 1.235
1S1Q/ana_script/target-unbound.pdb 1.027
1SBB/ana_script/target-unbound.pdb 0.593
1SYX/ana_script/target-unbound.pdb 1.748
